subject	B1	B2	Slope	X1	X2	Theta	PointVar	exitflag	R	LS	AR	N	status	comment
5700616b8a49c7000d0c73ad	0.00608975442267851	98.4533242021955	33.7924159302354	4.87715426502375	5.37490726171398	256.562393138736	10.0712855867498	2	0.965111857981871	101.430793369874	0	189	3	re
5ba288c63fd80800016308c4	4.55668214226878	99.9110867429452	99.9928326334881	5.05573192971283	4.8954539025307	265.620482842475	10.6056647421217	2	0.968907102927858	112.480124622282	0	189	3	re
5d23460ad4c57900192b129c	2.11524832351637	99.6684157533574	99.3028777265332	3.92235633117701	1.7830413892348	259.260150776142	16.9150157942263	2	0.92140855282755	286.117759318926	0	189	3	re
5d268981c22768000166c7c7	10.1973527822004	99.8280091868796	37.1931210961391	4.32736457911908	3.71554424437821	254.942636003488	13.5169401272216	2	0.933685664252648	182.707670402893	0	186	3	re
5d453e8723a5bb0001492546	19.4222943411801	86.629276513298	21.0051781265214	5.00857898741773	6.28857798832906	257.825520912404	8.5396827173855	2	0.945821219476507	72.9261809136127	0	189	3	re
5f0a7dec44c42c19a6c9f6d9	3.80942031985825	99.7477314432523	31.9952455239959	4.43517158877572	4.66166570344059	258.702384664341	12.3941532622296	2	0.94634302679593	153.615035087637	0	189	3	re
62eaf1d2015ba1448aa273c4	6.04980931256129	98.0690929723751	99.8599760711662	4.31510920202657	4.81073495219169	249.201337633473	12.0423704519373	2	0.962141680529489	145.018686101692	0	189	3	Refit
63e5b3e89a3823139cb9d35e	44.6386129148754	50.5432246611522	28.2767200085965	5.75060289091442	5.39490063233587	3.41353256771981e-09	12.4591663621717	2	0.219848140735308	155.230826440272	0.688206252732144	184	-1	
640175d4fd2062d9fa478050	0.000613479051715105	99.9977651265164	38.8203637605141	4.05890366761843	4.53905960895946	259.83503219104	18.732027968696	2	0.904634622710001	350.888871820011	0	188	3	re
65298aca34ac384b783169d4	10.9162664113397	98.9617783144738	99.9567918964094	5.45607863450136	5.65056705096805	265.288945598735	16.5992266714269	2	0.916495817136911	275.53432608941	0	188	3	re
655b6a0d11066d07716ab0b5	21.7308659864729	84.0974212936855	21.4311017904433	4.78046208384164	5.52111429269884	265.984781691613	16.0195484844947	2	0.831011474715907	256.625933647076	0.567090352072331	173	1	
655f9ea49fc6093808094bff	26.2787874783041	99.9955404887481	22.6735180454566	4.71225016702292	4.33352573334663	263.161048840049	11.6134996456171	2	0.912072142253734	134.873374018749	0	189	3	re
6579b9de36f9cba8ba122678	14.91693289552	79.1452531519722	37.358119827657	4.1980148397809	4.68331336227594	251.384214018939	9.02973151990705	2	0.949732682862809	81.5360513216029	0	189	3	re
663aef0aebe90e5eae33712b	2.75484243621737	99.9993537422409	46.5623328205334	4.74155232064623	4.86037182325909	262.675032191763	9.80154269015349	2	0.972543937689914	96.0702391069014	0	189	3	r
66463bc93e6f6e846ffb0b85	3.72356250162737	99.9913505602294	35.8884695355041	3.37715548144927	2.86055265892162	255.992763747199	14.9894634656033	2	0.927099459177669	224.684014986656	0	189	3	re
669284eabea5b8c9655927da	0.00388966267504526	74.7817837872605	99.975274585425	6.24613866483667	6.74307674123147	271.744029855482	12.0397577432104	2	0.932839419483717	144.955766515195	0	189	3	re
66a02d45a7db35d93c9f6a81	20.561638634118	72.3899795441693	19.4553725710821	4.89226853182372	4.87879863806763	260.249823613914	9.79386056659383	2	0.892961566408649	95.9197047978816	0	187	3	re
66bffd8c97a80ac91e1087e0	4.4454629577618	99.9986716244926	33.8630056989468	4.26087096254401	4.45847385999371	256.878614779059	13.1014677164417	2	0.943583240775424	171.648456324964	0	185	3	re
66c95504723c57c900715764	13.4716882465316	99.2799213930062	34.875320243427	4.54516334162836	4.08036435614158	260.19822140991	11.0632345823393	2	0.949297929210921	122.395159423869	0	180	3	re
66d36598db306c67c37bde18	10.9492886631012	91.3949001679907	40.6325637344087	3.91599157051354	4.87794967470646	243.89339671938	11.8042480429352	2	0.934760265983533	139.340271859139	0	189	3	re
67055b370e3c0c4965a03128	5.90884150862386	95.9357836766247	68.3711476194925	4.67866605375842	5.50226925204313	258.098039769056	17.1174965666121	2	0.92096617098046	293.008688707977	0.558995284000604	189	1	
671877457b87685e1d42f63c	0.0102174417128746	98.6475799188432	99.9522831174194	3.39997241564328	3.55484430832676	264.531373676328	11.0439132247302	2	0.970503359217585	121.96801931537	0	184	3	re
671d0d96e4bdbdca47815da2	9.77339459453849	98.8754542145656	51.0542477205557	4.54971934329432	5.06711313700702	253.137109172254	13.8974894751947	2	0.941116643376205	193.140213713147	0	180	3	re
6722e544617b4f90a6cbc061	27.5568689659895	68.487569275118	96.1943261911726	4.39698891948258	3.72676701949385	269.365191432626	14.5474154268976	2	0.776058412660736	211.627295602737	0	189	3	re
675675770dbc8c098596f973	7.36615413708315	90.638175398066	44.2969931217811	5.35325683450644	8.24685109550185	251.41754083104	16.5273429383252	2	0.900833289140825	273.153064601007	0	182	3	re
676d800c5499f924389756b5	5.90128468202397	99.9872461736364	27.5622891056201	4.53246563759906	4.62593809863751	252.873629859955	18.1733123224467	2	0.882800378815769	330.269280769192	0	189	3	re
67b8f459f36ac348b98d6cad	45.3750593819627	72.9277768244302	11.6878878523461	4.60505475528294	4.19829745907161	247.02951281625	10.0592493741237	2	0.73131211182801	101.188497970807	0	185	3	re
67c4caf4f28c1895f7f56b66	0.000434626892193257	99.2855813254962	60.5213222733508	5.09220129155963	8.97798190970915	244.589208835417	15.3272960071248	2	0.932374441622823	234.926002890023	0.711743652632985	189	1	
67d184729aa937ccec298d54	11.9746661027971	99.9096985543494	24.1769834923166	3.82347089150136	2.3811879348687	261.306695833425	20.5843668639174	2	0.822405277515817	423.71615918834	0	189	3	Refit
