Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Language related disorders,Primary language,U.s state/territory of birth,Current u.s state of residence,Vision,Hearing difficulties,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
685d82af10dfb2a621939ffd,62eaf1d2015ba1448aa273c4,APPROVED,Not Applicable,2025-06-26T17:26:38.205000Z,2025-06-26T18:03:02.789000Z,2025-07-02T01:18:20.447000Z,2025-06-26T18:07:27.869713Z,2185.0,NOCODE,1807,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Alabama (AL),Alabama (AL),Yes,No,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
685d82b7c71f9c9eaa1c6e04,5d23460ad4c57900192b129c,APPROVED,Not Applicable,2025-06-26T17:29:20.977000Z,2025-06-26T17:54:05.860000Z,2025-07-02T01:18:20.748000Z,2025-06-26T17:54:06.424826Z,1485.0,CFMA0H7W,5311,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Michigan (MI),Michigan (MI),Yes,No,38,Female,White,United States,United States,United States,English,No,Full-Time
685d82b9560049bbc1bcd44d,669aab18b7f156b93c657214,RETURNED,Not Applicable,2025-06-26T17:26:23.070000Z,,,2025-07-01T20:42:04.298104Z,,,1256,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d8335ec87036419c4ad69,5914b7b50a4b9d0001add64f,RETURNED,Not Applicable,,,,2025-07-01T20:42:04.298861Z,,,5132,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d8345ecc1a119ecf22893,66c8f4c85434e33b086cb7ca,RETURNED,Not Applicable,2025-06-26T17:28:43.032000Z,,,2025-07-01T20:42:04.299297Z,,,663,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d836f2d09840a4b934c8c,647dfaca60dc6f90350e765b,RETURNED,Not Applicable,2025-06-26T17:29:25.451000Z,,,2025-07-01T20:42:04.301118Z,,,1838,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d83a13606fdf307103a7b,67533343c3a851ce61ebc3fe,RETURNED,Not Applicable,2025-06-26T17:36:58.890000Z,,,2025-07-01T20:42:04.344082Z,,,1142,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d83a3ecccb179ec5dd27d,675aaec58dfc729c338a52eb,APPROVED,Not Applicable,2025-06-26T17:35:53.394000Z,2025-06-26T18:03:49.221000Z,2025-07-02T01:18:21.021000Z,2025-06-26T18:03:49.988912Z,1676.0,CFMA0H7W,789,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,West Virginia (WV),West Virginia (WV),Yes,No,21,Female,White,United States,United States,United States,English,Yes,Part-Time
685d83c1c53ea5b9d4a0a775,62c431f8b8e7dec0d2c03ea7,RETURNED,Not Applicable,2025-06-26T17:30:41.176000Z,,,2025-07-01T20:42:04.303830Z,,,2247,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685d84168b60202568167923,5f765a3c8a6ec010370c9cc1,APPROVED,Not Applicable,2025-06-26T17:32:12.751000Z,2025-06-26T17:48:58.314000Z,2025-07-02T01:18:21.292000Z,2025-06-26T17:48:58.869797Z,1006.0,CFMA0H7W,4803,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,North Carolina (NC),North Carolina (NC),Yes,No,25,Male,White,United States,United States,United States,English,No,Full-Time
685d841bfbe2b7f114642a20,6579b9de36f9cba8ba122678,APPROVED,Not Applicable,2025-06-26T17:36:47.016000Z,2025-06-26T18:01:55.739000Z,2025-07-02T01:18:21.580000Z,2025-06-26T18:01:56.249950Z,1509.0,CFMA0H7W,298,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Illinois (IL),Illinois (IL),Yes,No,20,Female,White,United States,United States,United States,English,Yes,Part-Time
685d8420615aaf915d0a80e3,671877457b87685e1d42f63c,APPROVED,Not Applicable,2025-06-26T17:32:44.554000Z,2025-06-26T18:12:27.547000Z,2025-07-02T01:18:21.848000Z,2025-06-26T18:12:28.057657Z,2383.0,CFMA0H7W,546,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,California (CA),California (CA),Yes,No,45,Female,Black,United States,United States,United States,English,No,Other
