Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-7o5e,branch-slr6,branch-ll18,branch-nsxn,randomiser-qxk8,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,Store: participant proceeds,Store: experiment ends,Store: participant proceeds.,Store: experiment ends.,Store: consent
1,1750958821584,26/06/2025 17:27:01,1750940821584,-5,26/06/2025 07:27:01,232446,10,questionnaire-ybb8,,47652913,BLIND,13735155,,complete,,685d82af10dfb2a621939ffd,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x647,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,,,,,info,,BEGIN,,,,,,,,,,
2,1750958855905,26/06/2025 17:27:35,1750940855905,-5,26/06/2025 07:27:35,232446,10,questionnaire-ybb8,,47652913,BLIND,13735155,,complete,,685d82af10dfb2a621939ffd,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x647,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 3,qizj6r,3,"I have read the information sheet and hereby give my consent to take part in this experiment in full knowledge that data are being recorded.<br/><br/>

",response,value,I agree,,I agree|I disagree,Multiple Choice,1,object-51,,,,,I agree
3,1750958855906,26/06/2025 17:27:35,1750940855906,-5,26/06/2025 07:27:35,232446,10,questionnaire-ybb8,,47652913,BLIND,13735155,,complete,,685d82af10dfb2a621939ffd,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x647,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 3,qizj6r,3,"I have read the information sheet and hereby give my consent to take part in this experiment in full knowledge that data are being recorded.<br/><br/>

",response,quantised,1,,I agree|I disagree,Multiple Choice,1,object-51,,,,,I agree
4,1750958855906,26/06/2025 17:27:35,1750940855906,-5,26/06/2025 07:27:35,232446,10,questionnaire-ybb8,,47652913,BLIND,13735155,,complete,,685d82af10dfb2a621939ffd,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x647,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 4,pjg878,4,Please provide your Prolific ID:,response,value,62eaf1d2015ba1448aa273c4,,,ID,1,object-55,,,,,I agree
5,1750958855909,26/06/2025 17:27:35,1750940855909,-5,26/06/2025 07:27:35,232446,10,questionnaire-ybb8,,47652913,BLIND,13735155,,complete,,685d82af10dfb2a621939ffd,computer,Desktop or Laptop,Chromium OS 14541.0.0,Chrome 137.0.0.0,1366x768,1366x647,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,,,,,info,,END,34196,,,,,,,,,
1,1750958982480,26/06/2025 17:29:42,1750944582480,-4,26/06/2025 09:29:42,232446,10,questionnaire-ybb8,,47652998,BLIND,13735169,,complete,,685d82b7c71f9c9eaa1c6e04,computer,Desktop or Laptop,Chromium OS 14092.77.0,Chrome 93.0.4577.107,1366x768,1366x617,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,,,,,info,,BEGIN,,,,,,,,,,
2,1750959063297,26/06/2025 17:31:03,1750944663297,-4,26/06/2025 09:31:03,232446,10,questionnaire-ybb8,,47652998,BLIND,13735169,,complete,,685d82b7c71f9c9eaa1c6e04,computer,Desktop or Laptop,Chromium OS 14092.77.0,Chrome 93.0.4577.107,1366x768,1366x617,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 3,qizj6r,3,"I have read the information sheet and hereby give my consent to take part in this experiment in full knowledge that data are being recorded.<br/><br/>

",response,value,I agree,,I agree|I disagree,Multiple Choice,1,object-51,,,,,I agree
3,1750959063298,26/06/2025 17:31:03,1750944663298,-4,26/06/2025 09:31:03,232446,10,questionnaire-ybb8,,47652998,BLIND,13735169,,complete,,685d82b7c71f9c9eaa1c6e04,computer,Desktop or Laptop,Chromium OS 14092.77.0,Chrome 93.0.4577.107,1366x768,1366x617,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 3,qizj6r,3,"I have read the information sheet and hereby give my consent to take part in this experiment in full knowledge that data are being recorded.<br/><br/>

",response,quantised,1,,I agree|I disagree,Multiple Choice,1,object-51,,,,,I agree
4,1750959063299,26/06/2025 17:31:03,1750944663299,-4,26/06/2025 09:31:03,232446,10,questionnaire-ybb8,,47652998,BLIND,13735169,,complete,,685d82b7c71f9c9eaa1c6e04,computer,Desktop or Laptop,Chromium OS 14092.77.0,Chrome 93.0.4577.107,1366x768,1366x617,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,Page 4,pjg878,4,Please provide your Prolific ID:,response,value,5d23460ad4c57900192b129c,,,ID,1,object-55,,,,,I agree
5,1750959063300,26/06/2025 17:31:03,1750944663300,-4,26/06/2025 09:31:03,232446,10,questionnaire-ybb8,,47652998,BLIND,13735169,,complete,,685d82b7c71f9c9eaa1c6e04,computer,Desktop or Laptop,Chromium OS 14092.77.0,Chrome 93.0.4577.107,1366x768,1366x617,,,0,Consent Form session 1,5,participant proceeds,participant proceeds,,,pier_beer,,,,,info,,END,80655,,,,,,,,,
