Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,English speaking monolingual,Were you raised monolingual?,Bilingual,Fluent languages,Language related disorders,Primary language,U.s state/territory of birth,Current u.s state of residence,Vision,Hearing difficulties,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
685d82af10dfb2a621939ffd,62eaf1d2015ba1448aa273c4,AWAITING REVIEW,Not Applicable,2025-06-26T17:26:38.205000Z,2025-06-26T18:03:02.789000Z,,2025-06-26T18:07:27.869713Z,2185.0,NOCODE,1807,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Alabama (AL),Alabama (AL),Yes,No,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
685d82b7c71f9c9eaa1c6e04,5d23460ad4c57900192b129c,AWAITING REVIEW,Not Applicable,2025-06-26T17:29:20.977000Z,2025-06-26T17:54:05.860000Z,,2025-06-26T17:54:06.424826Z,1485.0,CFMA0H7W,5311,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Michigan (MI),Michigan (MI),Yes,No,38,Female,White,United States,United States,United States,English,No,Full-Time
685d83a3ecccb179ec5dd27d,675aaec58dfc729c338a52eb,AWAITING REVIEW,Not Applicable,2025-06-26T17:35:53.394000Z,2025-06-26T18:03:49.221000Z,,2025-06-26T18:03:49.988912Z,1676.0,CFMA0H7W,789,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,West Virginia (WV),West Virginia (WV),Yes,No,21,Female,White,United States,United States,United States,English,Yes,Part-Time
685d84168b60202568167923,5f765a3c8a6ec010370c9cc1,AWAITING REVIEW,Not Applicable,2025-06-26T17:32:12.751000Z,2025-06-26T17:48:58.314000Z,,2025-06-26T17:48:58.869797Z,1006.0,CFMA0H7W,4803,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,North Carolina (NC),North Carolina (NC),Yes,No,25,Male,White,United States,United States,United States,English,No,Full-Time
685d841bfbe2b7f114642a20,6579b9de36f9cba8ba122678,AWAITING REVIEW,Not Applicable,2025-06-26T17:36:47.016000Z,2025-06-26T18:01:55.739000Z,,2025-06-26T18:01:56.249950Z,1509.0,CFMA0H7W,298,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Illinois (IL),Illinois (IL),Yes,No,20,Female,White,United States,United States,United States,English,Yes,Part-Time
685d8420615aaf915d0a80e3,671877457b87685e1d42f63c,AWAITING REVIEW,Not Applicable,2025-06-26T17:32:44.554000Z,2025-06-26T18:12:27.547000Z,,2025-06-26T18:12:28.057657Z,2383.0,CFMA0H7W,546,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,California (CA),California (CA),Yes,No,45,Female,Black,United States,United States,United States,English,No,Other
685d8436f96b1dcc59b84b86,67d184729aa937ccec298d54,AWAITING REVIEW,Not Applicable,2025-06-26T17:32:38.908000Z,2025-06-26T17:55:53.895000Z,,2025-06-26T17:55:54.510385Z,1395.0,CFMA0H7W,916,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Illinois (IL),Illinois (IL),Yes,No,23,Female,Black,United States,United States,United States,English,Yes,Part-Time
685d8490d80afc383e3e1365,66c95504723c57c900715764,AWAITING REVIEW,Not Applicable,2025-06-26T17:34:15.884000Z,2025-06-26T17:56:56.116000Z,,2025-06-26T17:56:56.628533Z,1361.0,CFMA0H7W,1340,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,California (CA),Indiana (IN),Yes,No,24,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
685d850c7afe2c1b8de3cdf3,66bffd8c97a80ac91e1087e0,AWAITING REVIEW,Not Applicable,2025-06-26T17:38:27.464000Z,2025-06-26T18:13:43.661000Z,,2025-06-26T18:13:57.526855Z,2117.0,CFMA0H7W,1715,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,California (CA),California (CA),Yes,No,40,Male,Black,United States,United States,United States,English,No,Full-Time
685d8588d4869c8bebc65b17,67055b370e3c0c4965a03128,AWAITING REVIEW,Not Applicable,2025-06-26T17:38:39.426000Z,2025-06-26T17:55:26.165000Z,,2025-06-26T17:55:26.681637Z,1007.0,CFMA0H7W,2244,I only know English,I was raised with my native language only,none just my native langauge,English,none,English,Virginia (VA),Virginia (VA),Yes,No,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
