Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
685ec033f7e76a071489cbda,67d184729aa937ccec298d54,AWAITING REVIEW,Not Applicable,2025-06-27T16:00:51.809000Z,2025-06-27T16:46:25.161000Z,,2025-06-27T16:46:25.687069Z,2734.0,CFMA0H7W,938,23,Female,Black,United States,United States,United States,English,Yes,Part-Time
685ec0adfc13938a14b02346,671d0d96e4bdbdca47815da2,AWAITING REVIEW,Not Applicable,2025-06-27T16:03:38.726000Z,2025-06-27T16:45:00.865000Z,,2025-06-27T16:45:01.417540Z,2483.0,CFMA0H7W,420,23,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
685ec0fd56478d0540b8cd18,6579b9de36f9cba8ba122678,AWAITING REVIEW,Not Applicable,2025-06-27T16:04:39.965000Z,2025-06-27T16:49:57.425000Z,,2025-06-27T16:49:58.001927Z,2718.0,CFMA0H7W,311,20,Female,White,United States,United States,United States,English,Yes,Part-Time
685ec17b8d1d720e14f42e4b,655b6a0d11066d07716ab0b5,AWAITING REVIEW,Not Applicable,2025-06-27T16:08:52.794000Z,2025-06-27T16:50:26.431000Z,,2025-06-27T16:50:26.947217Z,2494.0,CFMA0H7W,3373,33,Male,White,United States,United States,United States,English,DATA_EXPIRED,"Not in paid work (e.g. homemaker', 'retired or disabled)"
685ec3375a5c3c3d77772663,671877457b87685e1d42f63c,AWAITING REVIEW,Not Applicable,2025-06-27T16:14:13.917000Z,2025-06-27T17:02:43.460000Z,,2025-06-27T17:02:43.972572Z,2910.0,CFMA0H7W,567,45,Female,Black,United States,United States,United States,English,No,Other
685ec34a68b8186a4e0f5cd5,67055b370e3c0c4965a03128,AWAITING REVIEW,Not Applicable,2025-06-27T16:15:15.870000Z,2025-06-27T16:53:19.218000Z,,2025-06-27T16:53:19.770709Z,2284.0,CFMA0H7W,2253,36,Male,Mixed,United States,United States,United States,English,No,Full-Time
685ec611250c508e8b12f21e,62eaf1d2015ba1448aa273c4,AWAITING REVIEW,Not Applicable,2025-06-27T16:26:01.527000Z,2025-06-27T17:20:34.738000Z,,2025-06-27T17:20:35.248442Z,3274.0,CFMA0H7W,1813,25,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
685ec8805bf0c2a8ccb310fd,66c95504723c57c900715764,AWAITING REVIEW,Not Applicable,2025-06-27T16:39:19.492000Z,2025-06-27T17:30:07.432000Z,,2025-06-27T17:30:08.109726Z,3048.0,CFMA0H7W,1351,24,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
685ecb1f809a3587d3c5fbf2,5f765a3c8a6ec010370c9cc1,RETURNED,Not Applicable,2025-06-27T16:47:54.660000Z,,,2025-06-29T19:13:06.937789Z,,,4846,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685ecba98c8b5ad3e2aa9a69,5ba288c63fd80800016308c4,AWAITING REVIEW,Not Applicable,2025-06-27T16:50:02.432000Z,2025-06-27T17:35:46.269000Z,,2025-06-27T17:35:46.872873Z,2744.0,CFMA0H7W,8336,32,Male,White,United States,United States,United States,English,DATA_EXPIRED,Full-Time
685ecd63e1207ddbbfd41d84,63e5b3e89a3823139cb9d35e,AWAITING REVIEW,Not Applicable,2025-06-27T16:57:23.838000Z,2025-06-27T18:21:55.173000Z,,2025-06-27T18:21:56.336783Z,5072.0,CFMA0H7W,1674,34,Male,White,United States,United States,United States,English,No,Full-Time
685ed3a0c5ed3cf81cad739f,67be05692b18b631ece5fd2e,RETURNED,Not Applicable,2025-06-27T17:27:07.689000Z,2025-06-27T17:45:03.873000Z,,2025-06-29T19:13:06.939543Z,,C1MDQOTI,476,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685eead8518ca3ef4d674cb2,675aaec58dfc729c338a52eb,RETURNED,Not Applicable,2025-06-27T19:09:19.293000Z,,,2025-06-29T19:13:06.940512Z,,,820,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
685eeb7b74639044419fb563,66bffd8c97a80ac91e1087e0,AWAITING REVIEW,Not Applicable,2025-06-27T19:05:37.994000Z,2025-06-27T19:58:49.605000Z,,2025-06-27T19:58:50.193669Z,3192.0,CFMA0H7W,1735,40,Male,Black,United States,United States,United States,English,No,Full-Time
685f268132d562e5b589dafb,67b8f459f36ac348b98d6cad,AWAITING REVIEW,Not Applicable,2025-06-27T23:19:14.400000Z,2025-06-28T00:15:14.028000Z,,2025-06-28T00:15:14.558981Z,3360.0,CFMA0H7W,973,23,Female,White,United States,United States,United States,English,No,Full-Time
685f5905c5863ce9d0d64396,663aef0aebe90e5eae33712b,AWAITING REVIEW,Not Applicable,2025-06-28T02:52:59.308000Z,2025-06-28T03:46:44.051000Z,,2025-06-28T03:48:16.641557Z,3225.0,CFMA0H7W,933,24,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
6861e73be3658f1580b0198d,676d800c5499f924389756b5,AWAITING REVIEW,Not Applicable,2025-06-30T01:24:15.134000Z,2025-06-30T02:23:11.625000Z,,2025-06-30T02:23:12.211887Z,3537.0,CFMA0H7W,463,33,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68627493a2695152d05c4bbc,5d23460ad4c57900192b129c,AWAITING REVIEW,Not Applicable,2025-06-30T11:27:22.377000Z,2025-06-30T12:04:07.652000Z,,2025-06-30T12:04:08.150969Z,2206.0,CFMA0H7W,5336,38,Female,White,United States,United States,United States,English,No,Full-Time
